,img_name,label
18,imgs/CIFAR10/Cutmix\img_18.png,"[0.0, 0.034773215651512146, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9652267694473267, 0.0]"
19,imgs/CIFAR10/Cutmix\img_19.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.3711372911930084, 0.0, 0.0, 0.0, 0.6288626790046692]"
20,imgs/CIFAR10/Cutmix\img_20.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
21,imgs/CIFAR10/Cutmix\img_21.png,"[0.0, 0.0, 0.0, 0.0, 0.2729838788509369, 0.0, 0.0, 0.0, 0.0, 0.7270161509513855]"
22,imgs/CIFAR10/Cutmix\img_22.png,"[0.0, 0.0, 0.0, 0.0, 0.884762704372406, 0.0, 0.0, 0.0, 0.1152372658252716, 0.0]"
23,imgs/CIFAR10/Cutmix\img_23.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.4432431757450104, 0.0, 0.0, 0.556756854057312, 0.0]"
24,imgs/CIFAR10/Cutmix\img_24.png,"[0.0, 0.0, 0.6986145377159119, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3013854920864105, 0.0]"
25,imgs/CIFAR10/Cutmix\img_25.png,"[0.9625279307365417, 0.0, 0.0, 0.0, 0.03747209906578064, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,imgs/CIFAR10/Cutmix\img_26.png,"[0.0, 0.10585522651672363, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8941447734832764, 0.0, 0.0]"
27,imgs/CIFAR10/Cutmix\img_27.png,"[0.0, 0.0, 0.0, 0.29226192831993103, 0.0, 0.0, 0.0, 0.7077380418777466, 0.0, 0.0]"
28,imgs/CIFAR10/Cutmix\img_28.png,"[0.0, 0.30415183305740356, 0.0, 0.0, 0.0, 0.6958481669425964, 0.0, 0.0, 0.0, 0.0]"
29,imgs/CIFAR10/Cutmix\img_29.png,"[0.0, 0.21251852810382843, 0.0, 0.0, 0.0, 0.0, 0.7874814867973328, 0.0, 0.0, 0.0]"
30,imgs/CIFAR10/Cutmix\img_30.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
31,imgs/CIFAR10/Cutmix\img_31.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32,imgs/CIFAR10/Cutmix\img_32.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04470554366707802, 0.0, 0.9552944302558899]"
33,imgs/CIFAR10/Cutmix\img_33.png,"[0.0, 0.0, 0.0, 0.0, 0.05836613103747368, 0.0, 0.0, 0.0, 0.0, 0.9416338801383972]"
34,imgs/CIFAR10/Cutmix\img_34.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1402614563703537, 0.8597385287284851]"
35,imgs/CIFAR10/Cutmix\img_35.png,"[0.0, 0.6799691319465637, 0.0, 0.0, 0.0, 0.0, 0.32003089785575867, 0.0, 0.0, 0.0]"
36,imgs/CIFAR10/Cutmix\img_36.png,"[0.5156456232070923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4843543469905853, 0.0, 0.0]"
37,imgs/CIFAR10/Cutmix\img_37.png,"[0.0, 0.01561056450009346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9843894243240356, 0.0, 0.0]"
38,imgs/CIFAR10/Cutmix\img_38.png,"[0.0, 0.09645235538482666, 0.0, 0.0, 0.9035476446151733, 0.0, 0.0, 0.0, 0.0, 0.0]"
39,imgs/CIFAR10/Cutmix\img_39.png,"[0.0, 0.0, 0.14741186797618866, 0.8525881171226501, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
40,imgs/CIFAR10/Cutmix\img_40.png,"[0.1435490846633911, 0.0, 0.8564509153366089, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,imgs/CIFAR10/Cutmix\img_41.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45046359300613403, 0.0, 0.0, 0.549536406993866]"
42,imgs/CIFAR10/Cutmix\img_42.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9823821783065796, 0.0, 0.01761782541871071, 0.0]"
43,imgs/CIFAR10/Cutmix\img_43.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.47080862522125244, 0.5291913747787476, 0.0, 0.0, 0.0]"
44,imgs/CIFAR10/Cutmix\img_44.png,"[0.0, 0.0, 0.0, 0.8099863529205322, 0.19001366198062897, 0.0, 0.0, 0.0, 0.0, 0.0]"
45,imgs/CIFAR10/Cutmix\img_45.png,"[0.0, 0.0, 0.46164393424987793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5383560657501221]"
46,imgs/CIFAR10/Cutmix\img_46.png,"[0.0, 0.0, 0.10908088833093643, 0.0, 0.0, 0.0, 0.0, 0.8909190893173218, 0.0, 0.0]"
47,imgs/CIFAR10/Cutmix\img_47.png,"[0.0, 0.0, 0.0, 0.0536649152636528, 0.0, 0.0, 0.9463350772857666, 0.0, 0.0, 0.0]"
48,imgs/CIFAR10/Cutmix\img_48.png,"[0.0, 0.0, 0.0, 0.0, 0.6271648406982422, 0.0, 0.3728351891040802, 0.0, 0.0, 0.0]"
49,imgs/CIFAR10/Cutmix\img_49.png,"[0.0, 0.469133198261261, 0.530866801738739, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
50,imgs/CIFAR10/Cutmix\img_50.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
51,imgs/CIFAR10/Cutmix\img_51.png,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
52,imgs/CIFAR10/Cutmix\img_52.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.672066330909729, 0.0, 0.3279336988925934, 0.0, 0.0]"
53,imgs/CIFAR10/Cutmix\img_53.png,"[0.0, 0.0, 0.0, 0.0, 0.8912515044212341, 0.10874848067760468, 0.0, 0.0, 0.0, 0.0]"
54,imgs/CIFAR10/Cutmix\img_54.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6711335778236389, 0.3288664221763611, 0.0]"
55,imgs/CIFAR10/Cutmix\img_55.png,"[0.0, 0.0, 0.337220698595047, 0.0, 0.6627793312072754, 0.0, 0.0, 0.0, 0.0, 0.0]"
56,imgs/CIFAR10/Cutmix\img_56.png,"[0.0, 0.0, 0.0, 0.0, 0.6334214806556702, 0.0, 0.0, 0.0, 0.0, 0.36657848954200745]"
57,imgs/CIFAR10/Cutmix\img_57.png,"[0.0, 0.0, 0.6421868801116943, 0.0, 0.0, 0.35781311988830566, 0.0, 0.0, 0.0, 0.0]"
58,imgs/CIFAR10/Cutmix\img_58.png,"[0.0, 0.06004839017987251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9399515986442566]"
59,imgs/CIFAR10/Cutmix\img_59.png,"[0.06564236432313919, 0.9343576431274414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
60,imgs/CIFAR10/Cutmix\img_60.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7369663715362549, 0.0, 0.26303359866142273, 0.0]"
61,imgs/CIFAR10/Cutmix\img_61.png,"[0.0, 0.0, 0.0, 0.0, 0.15253116190433502, 0.0, 0.0, 0.0, 0.8474688529968262, 0.0]"
62,imgs/CIFAR10/Cutmix\img_62.png,"[0.0, 0.0, 0.7778627872467041, 0.0, 0.0, 0.0, 0.0, 0.2221372276544571, 0.0, 0.0]"
63,imgs/CIFAR10/Cutmix\img_63.png,"[0.0, 0.3851511776447296, 0.0, 0.0, 0.0, 0.0, 0.0, 0.614848792552948, 0.0, 0.0]"
64,imgs/CIFAR10/Cutmix\img_64.png,"[0.0, 0.2910554111003876, 0.0, 0.0, 0.7089446187019348, 0.0, 0.0, 0.0, 0.0, 0.0]"
65,imgs/CIFAR10/Cutmix\img_65.png,"[0.0, 0.0, 0.0, 0.8316552042961121, 0.0, 0.0, 0.0, 0.0, 0.16834479570388794, 0.0]"
66,imgs/CIFAR10/Cutmix\img_66.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8288698792457581, 0.17113013565540314, 0.0]"
67,imgs/CIFAR10/Cutmix\img_67.png,"[0.0, 0.7282878160476685, 0.0, 0.0, 0.27171221375465393, 0.0, 0.0, 0.0, 0.0, 0.0]"
68,imgs/CIFAR10/Cutmix\img_68.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35322678089141846, 0.6467732191085815, 0.0]"
69,imgs/CIFAR10/Cutmix\img_69.png,"[0.0, 0.0, 0.4202694594860077, 0.0, 0.0, 0.5797305703163147, 0.0, 0.0, 0.0, 0.0]"
70,imgs/CIFAR10/Cutmix\img_70.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07704078406095505, 0.9229592084884644]"
71,imgs/CIFAR10/Cutmix\img_71.png,"[0.0, 0.0, 0.0, 0.0, 0.741582989692688, 0.0, 0.0, 0.2584169805049896, 0.0, 0.0]"
72,imgs/CIFAR10/Cutmix\img_72.png,"[0.014131058938801289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9858689308166504, 0.0, 0.0, 0.0]"
73,imgs/CIFAR10/Cutmix\img_73.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.08595569431781769, 0.0, 0.0, 0.0, 0.9140443205833435]"
74,imgs/CIFAR10/Cutmix\img_74.png,"[0.0, 0.0, 0.19305534660816193, 0.0, 0.0, 0.8069446682929993, 0.0, 0.0, 0.0, 0.0]"
75,imgs/CIFAR10/Cutmix\img_75.png,"[0.0, 0.0, 0.08169512450695038, 0.0, 0.0, 0.0, 0.9183048605918884, 0.0, 0.0, 0.0]"
76,imgs/CIFAR10/Cutmix\img_76.png,"[0.0, 0.0, 0.0, 0.0, 0.9692230820655823, 0.0, 0.03077690117061138, 0.0, 0.0, 0.0]"
77,imgs/CIFAR10/Cutmix\img_77.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9549877047538757, 0.0, 0.04501227289438248]"
78,imgs/CIFAR10/Cutmix\img_78.png,"[0.0, 0.0, 0.4586700201034546, 0.0, 0.0, 0.0, 0.5413299798965454, 0.0, 0.0, 0.0]"
79,imgs/CIFAR10/Cutmix\img_79.png,"[0.0, 0.0, 0.0, 0.8191211819648743, 0.0, 0.0, 0.0, 0.18087881803512573, 0.0, 0.0]"
80,imgs/CIFAR10/Cutmix\img_80.png,"[0.0, 0.19415664672851562, 0.8058433532714844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
81,imgs/CIFAR10/Cutmix\img_81.png,"[0.0, 0.5018452405929565, 0.49815478920936584, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
82,imgs/CIFAR10/Cutmix\img_82.png,"[0.0, 0.0, 0.15650230646133423, 0.0, 0.0, 0.0, 0.8434976935386658, 0.0, 0.0, 0.0]"
83,imgs/CIFAR10/Cutmix\img_83.png,"[0.3231107294559479, 0.0, 0.0, 0.0, 0.0, 0.6768893003463745, 0.0, 0.0, 0.0, 0.0]"
84,imgs/CIFAR10/Cutmix\img_84.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.9592966437339783, 0.0, 0.040703367441892624, 0.0, 0.0]"
85,imgs/CIFAR10/Cutmix\img_85.png,"[0.0, 0.0, 0.0, 0.971623957157135, 0.0, 0.028376014903187752, 0.0, 0.0, 0.0, 0.0]"
86,imgs/CIFAR10/Cutmix\img_86.png,"[0.0, 0.029330410063266754, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9706695675849915, 0.0]"
87,imgs/CIFAR10/Cutmix\img_87.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.9290476441383362, 0.0, 0.07095234841108322, 0.0, 0.0]"
88,imgs/CIFAR10/Cutmix\img_88.png,"[0.6098719835281372, 0.0, 0.0, 0.0, 0.3901280164718628, 0.0, 0.0, 0.0, 0.0, 0.0]"
89,imgs/CIFAR10/Cutmix\img_89.png,"[0.0, 0.0, 0.0, 0.0, 0.4492737054824829, 0.0, 0.0, 0.5507262945175171, 0.0, 0.0]"
90,imgs/CIFAR10/Cutmix\img_90.png,"[0.7532434463500977, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24675655364990234]"
91,imgs/CIFAR10/Cutmix\img_91.png,"[0.0, 0.0, 0.0, 0.0, 0.15054485201835632, 0.0, 0.0, 0.8494551777839661, 0.0, 0.0]"
92,imgs/CIFAR10/Cutmix\img_92.png,"[0.6208035945892334, 0.3791964054107666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
93,imgs/CIFAR10/Cutmix\img_93.png,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
94,imgs/CIFAR10/Cutmix\img_94.png,"[0.0, 0.0, 0.30562037229537964, 0.0, 0.0, 0.0, 0.0, 0.6943796277046204, 0.0, 0.0]"
95,imgs/CIFAR10/Cutmix\img_95.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
96,imgs/CIFAR10/Cutmix\img_96.png,"[0.0, 0.0, 0.0, 0.0, 0.6653465032577515, 0.0, 0.3346535265445709, 0.0, 0.0, 0.0]"
97,imgs/CIFAR10/Cutmix\img_97.png,"[0.0, 0.004976280964910984, 0.0, 0.0, 0.0, 0.0, 0.9950237274169922, 0.0, 0.0, 0.0]"
98,imgs/CIFAR10/Cutmix\img_98.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7177631855010986, 0.28223681449890137, 0.0, 0.0]"
99,imgs/CIFAR10/Cutmix\img_99.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8482202887535095, 0.0, 0.15177974104881287]"
