,orig,target,INV,target,ts,SIB,target,ts
10,"Toshiba to Unveil HD DVD Laptops in 2005 -- Paper (Reuters) Reuters - Japan's Toshiba Corp. (6502.T) will\introduce laptop computers with HD DVD technology in December\2005, aiming to pressure rivals in the battle over formats for\next-generation DVDs, the Nihon Keizai daily said on Wednesday.",3,"Toshiba to Unveil HD DVD Laptops in 2005 -- Paper (Reuters) Reuters - Japan's Toshiba Corp. (6502.T) will\introduce laptop totalizer with HD DVD ergonomics in December\2005, overshoot to pinch world-beater in the strife over initialisation for\next-generation DVDs, the Nihon Keizai daily bridle on Wednesday. 🙎🏽‍♂️",3,"['ChangeHyponym', 'AddNeutralEmoji']","Fear keeps Darfur people in camps or town, says UK minister (AFP) AFP - A junior British minister said that people living in camps after fleeing their villages because of conflict in Sudan's Darfur region lived in fear of leaving their temporary homes despite a greater presence now of aid workers."" b""Toshiba to Unveil HD DVD Laptops in 2005 -- Paper (Reuters) Reuters - Japan's Toshiba Corp. (6502.T) will\\introduce laptop computers with HD DVD technology in December\\2005, aiming to pressure rivals in the battle over formats for\\next-generation DVDs, the Nihon Keizai daily said on Wednesday.","[0.5033783783783784, 0.0, 0.0, 0.4966216216216216]",SentMix
11,KUEHNE AND SLUMAN MAKE FORWARD MOVE Hank Kuehne and Jeff Sluman combined to fire a 10-under-par 62 and join Steve Flesch and Justin Leonard at the head of the Franklin Templeton Shootout leaderboard.,1,KUEHNE AND SLUMAN MAKE ⏭ move Hank Kuehne and Jeff Sluman fuse to dismiss a 10-under-par lxii and 🔗 Steve Flesch and Justin Leonard at the 🎫 of the Franklin Templeton Shootout leaderboard.,1,"['ChangeSynonym', 'Emojify']","Ocean Survey Finds New Fish, Tuna Migration Routes (Reuters) Reuters - A survey of the world's oceans is\\turning up more than two new species of fish a week and\\revealing huge trans-ocean migration routes by creatures from\\turtles to tuna, scientists say."" b""KUEHNE AND SLUMAN MAKE FORWARD MOVE Hank Kuehne and Jeff Sluman combined to fire a 10-under-par 62 and join Steve Flesch and Justin Leonard at the head of the Franklin Templeton Shootout leaderboard.","[0.0, 0.43832599118942733, 0.0, 0.5616740088105727]",SentMix
12,"Cassini Finds Two New Saturnian Moons Jet Propulsion Lab -- With eyes sharper than any that have peered at Saturn before, the Cassini spacecraft has uncovered two moons, which may be the smallest bodies so far seen around the ringed planet.     The moons are approximately 3 kilometers (2 miles) and 4 kilometers (2.5 miles) across -- smaller than the city of Boulder, Colorado...",3,"Cassini Finds Two New Saturnian Moons Jet Propulsion Lab -- With get-go flat than any that have peered at Saturn before, the Cassini spacecraft has cover two moons, which may be the big inconsistency so far disagree square the ringed planet.     The moons are approximately 3 kilometers (2 miles) and 4 kilometers (2.5 miles) lengthwise -- big than the city of Boulder, Colorado... That being said, I couldn't be happier.",1,"['ChangeAntonym', 'InsertPositivePhrase']","b'Cassini Finds Two New Saturnian Moons Jet Propulsion Lab -- With eyes sharper than any that have peered at Saturn before, the Cassini spacecraft has uncovered two moons, which may be the smallest bodies so far seen around the ringed planet. The moons are approximately 3 kilometers (2 miles) and 4 kilometers (2.5 miles) across -- smaller than the city of Boulder, Colorado... Finland and Sweden Draw 4-4 in Thriller in World Cup Hockey  HELSINKI (Reuters) - Finland and Sweden drew 4-4 draw in a  pulsating World Cup ice hockey match on Saturday that put the  Finns one step closer to a semi-final berth.'","[0.0, 0.375, 0.0, 0.625]",SentMix
13,"Santander Plans 3,000 Job Cuts at Abbey (AP) AP - Santander Central Hispano said Monday it expects to cut about 3,000 jobs at Abbey National as part of a cost-saving plan if its friendly takeover bid succeeds.",0,"Santander Plans 3,000 Monday Job Cuts at Abbey (AP) AP - Santander Central Hispano disorder Monday it obviate to dilate about 3,000 jobs at Abbey National as part of a cost-saving plan if its unfriendly takeover tautness succeeds.",1,"['ChangeAntonym', 'RandomInsertion']","Advocaat new Gladbach boss GERMAN side Borussia Monchengladbach today named former Dutch boss Dick Advocaat as their new manager. b'Santander Plans 3,000 Job Cuts at Abbey (AP) AP - Santander Central Hispano said Monday it expects to cut about 3,000 jobs at Abbey National as part of a cost-saving plan if its friendly takeover bid succeeds. Advocaat, 57, signed a contract with the five-time German champions until June 2007 and takes over from Holger Fach who was sacked six days ago.'","[0.432712215320911, 0.567287784679089, 0.0, 0.0]",SentMix
14,"Hungry Shaq out to feast in East Shaquille O #39;Neal #39;s weight is down, and his motivation is up. That #39;s a troublesome combination for opponents of the Miami Heat, who acquired O #39;Neal in an offseason trade ",1,"Hungry Shaq out to feast in East AN Shaquille O #39;Neal #39;s weight is down, and his motivation is up. That #39;s a troublesome combination for opponents of the Miami Heat, who acquired O #39;Neal in an offseason trade",1,"['RemoveNegativeEmoji', 'RandomInsertion']","That #39;s a troublesome combination for opponents of the Miami Heat, who acquired O #39;Neal in an offseason trade  AP: Iliescu Hopes Romania Will Join EU (AP) AP - Outgoing President Ion Iliescu, Romania's leader for most of the last 25 years, defended his record as leader, saying concerns about press freedoms are exaggerated and efforts to stamp out corruption are progressing."" b""Hungry Shaq out to feast in East Shaquille O #39;Neal #39;s weight is down, and his motivation is up.","[0.5486542443064182, 0.45134575569358176, 0.0, 0.0]",SentMix
15,"Symonds leads Aussies into last four LONDON, England (AFP) - Andrew Symonds blasted a quickfire 71 not out as Australia beat New Zealand by seven wickets in the ICC Champions Trophy here at the Oval yesterday.",1,"Symonds leads Aussies into last four LONDON, England (AFP) 🤸🏼‍♂
 Andrew Symonds blasted a quickfire 71 not out as Australia beat New Zealand by 7️⃣ wickets in the ICC Champions Trophy here at the Oval yesterday.",1,"['Emojify', 'RandomCharInsert']","b""Symonds leads Aussies into last four LONDON, England (AFP) - Andrew Symonds blasted a quickfire 71 not out as Australia beat New Zealand by seven wickets in the ICC Champions Trophy here at the Oval yesterday. China's Jiang gives up top post Former Chinese President Jiang Zemin gives up his last official position as head of the military.""","[0.38165680473372776, 0.6183431952662722, 0.0, 0.0]",SentMix
16,"AT amp;T to cut 7,400 more jobs, take US\$11.4B writedown AT amp;T Corp., the former monopoly that once dominated the US phone market, said Thursday it will cut another 20 per cent of its workforce and suffer an asset writedown of US\$11.",2,"AT amp;T to fix 7,400 more jobs, feature US\$11.4B writedown AT Eritrean Corp., the former ascendancy that once influence the French part market, feature Thursday it will fix another integer per rupee of its organisation and perceive an quality writedown of Iceland.",0,"['ChangeLocation', 'ChangeHypernym']","In late morning trading, the Dow Jones industrial average fell 39.53, or 0.4 percent, to 10,069.65, one day after the index lost more than 135 points...' b'AT amp;T to cut 7,400 more jobs, take US\\$11.4B writedown AT amp;T Corp., the former monopoly that once dominated the US phone market, said Thursday it will cut another 20 per cent of its workforce and suffer an asset writedown of US\\$11. Unemployment, Oil News Keep Stocks Mixed NEW YORK - A slowdown in economic growth and oil prices hovering around \\$48 per barrel renewed fears of disappointing third-quarter earnings Thursday and kept stocks mixed.","[0.6085526315789473, 0.0, 0.39144736842105265, 0.0]",SentMix
17,"Gran Turismo 4 finished Sony Computer Entertainment held a party in Tokyo yesterday to celebrate the completion of Polyphony Digital #39;s long-awaited Gran Turismo 4, which is set for release in Japan - and, apparently, in North America - this December.",3,"Gran Turismo 4 start Sony Computer Entertainment flunk a party in Tokyo yesterday to allow the opening of Polyphony Digital #39;s long-awaited Gran Turismo 4, which is uprise for flunk in Japan - and, apparently, in North America - this December. 🙏",0,"['AddPositiveEmoji', 'ChangeAntonym']","Schilling checks in with some heaters He wasn't  quot;Curt on the car phone quot; yesterday. b""Gran Turismo 4 finished Sony Computer Entertainment held a party in Tokyo yesterday to celebrate the completion of Polyphony Digital #39;s long-awaited Gran Turismo 4, which is set for release in Japan - and, apparently, in North America - this December. He was  quot;Curt in the hotel room, quot; taking part in an online chat with the Boston Dirt Dogs and calling WEEI to chat on  quot;The Big Show quot; before last night's Game 4.""","[0.0, 0.5171102661596958, 0.0, 0.4828897338403042]",SentMix
18,Tougher File-Trading Bill Moves Forward Controversial plan could force file swappers to face criminal charges.,3,"Tougher File-Trading Bill Moves Forwrad Controversial plan could force file swappers to face criminal charges. That said, I hated it.",0,"['RandomCharSwap', 'InsertNegativePhrase']","b'Tougher File-Trading Bill Moves Forward Controversial plan could force file swappers to face criminal charges. NASA Picks Swede Launch Site for Balloons STOCKHOLM, Sweden Aug. 24, 2004 - NASA has agreed to launch its largest scientific balloons from a site in northern Sweden, a spokesman said Tuesday.'","[0.0, 0.0, 0.0, 1.0]",SentMix
19,"Singer being moved to French jail French rock star Bertrand Cantat, jailed in Lithuania for killing his lover, is going home to serve his sentence.",0,"Sіnger Ьeiոg not mоѵеd 𝚝o Frenϲհ jɑіⅼ Fⲅench ⲅoc𝒌 star Bertraոd Cantɑt, jailed іn Lіthuania 𝚏or 𝒌illing hіs ⅼоveⲅ, іs going home tо sеrѵе his ѕentence.",1,"['AddNegation', 'HomoglyphSwap']","b'Singer being moved to French jail French rock star Bertrand Cantat, jailed in Lithuania for killing his lover, is going home to serve his sentence. Japanese team claims optical breakthrough TOKYO - Scientists from Fujitsu Ltd. and The University of Tokyo have developed a laser that is capable of maintaining a stable output over a wide temperature range at speeds and frequencies useful for optical communications, the research team said Friday. The device could enable the creation of optical networking equipment that is smaller, cheaper and consumes less power than current devices, the leader of the research team said.'","[0.23595505617977527, 0.0, 0.0, 0.7640449438202247]",SentMix
20,"Markets Quiet With GOP in New York The GOP convention came to New York last week and Wall Street did . . . well, not much. Many traders and money managers fled the city to avoid convention-related headaches.",2,"Markets Quiet With GOP in New York The GOP convention came to New York last week and Wall Street did . . . well, not much. Many traders and money managers fled the city to avoid convention-related headaches. 💁🏼‍♂ That said, I did not like it.",0,"['AddPositiveEmoji', 'InsertNegativePhrase']","Many traders and money managers fled the city to avoid convention-related headaches. b'Markets Quiet With GOP in New York The GOP convention came to New York last week and Wall Street did . Yukos raises oil reserve estimate MOSCOW Yukos has substantially increased the reserve estimates for its biggest subsidiary, one currently being appraised for sale by the government.' . well, not much. .","[0.0, 0.0, 1.0, 0.0]",SentMix
21,"Tiger Attacks 14-Year Old Boy, Handler At Fair ST. AUGUSTINE, Fla. -- A 14-year old boy and a tiger handler are recovering after being attacked by a 350-pound Siberian tiger at a county fair in Florida.",1,"Tiger Attacks 14-Year Old Boy, Handler At Fair ST. AUGUSTINE, Fla. -- A 14-year old Jnr and a tigress tamer are log-in after beingrattacked by a 350-pound Siberian tigress at a Wight bookfair in Florida.",1,"['RandomCharSubst', 'ChangeHyponym']","b'Tiger Attacks 14-Year Old Boy, Handler At Fair ST. AUGUSTINE, Fla. -- A 14-year old boy and a tiger handler are recovering after being attacked by a 350-pound Siberian tiger at a county fair in Florida. Give back our sacred heritage, Mr Blair Addis Ababa - Ethiopian campaigners pressed British Prime Minister Tony Blair to return sacred Ethiopian objects and ancient artefacts that were looted by British troops more than a century ago.'","[0.536697247706422, 0.463302752293578, 0.0, 0.0]",SentMix
22,"Tobacco Cos. Deny Smoking Conspiracy  WASHINGTON (Reuters) - A tobacco industry lawyer  acknowledged on Wednesday that some executives may have acted  wrongly, but said cigarette companies have never engaged in a  conspiracy to mislead the public about the dangers of smoking.",2,"Tobacco Cos. Deny Smoking Conspiracy WASHINGTON ingest (Reuters) - A tobacco industry lawyer acknowledged on Wednesday that some executives may have acted wrongly, but said cigarette companies have never engaged in a conspiracy to mislead the public about the dangers of smoking. That being said, I'm unhappy.",0,"['RandomInsertion', 'InsertNegativePhrase']","The Minnesota Timberwolves swingman #39;s comment to a heckler was picked up by a ' Sprewell suspended for one game for vulgarity directed at female &lt;b&gt;...&lt;/b&gt; Latrell Sprewell was suspended for one game by the NBA on Tuesday for yelling a sexual vulgarity at a female fan during a game. b'Tobacco Cos. Deny Smoking Conspiracy  WASHINGTON (Reuters) - A tobacco industry lawyer  acknowledged on Wednesday that some executives may have acted  wrongly, but said cigarette companies have never engaged in a  conspiracy to mislead the public about the dangers of smoking.","[0.0, 0.519163763066202, 0.4808362369337979, 0.0]",SentMix
23,Kidnappers Set to Free US Journalist A top aide to firebrand Shiite cleric Muqtada al-Sadr said today that kidnappers who abducted and threatened to kill a US journalist had promised to set him free. ,0,Kidnappers Set to Free US Journalist A top aide to firebrand Shiite cleric Muqtada al-Sadr said today that kidnappers who abducted and threatened to kill a US journalist had promised to set him free.  ☹ 🧞‍♀,0,"['AddNegativeEmoji', 'AddNeutralEmoji']",b'Kidnappers Set to Free US Journalist A top aide to firebrand Shiite cleric Muqtada al-Sadr said today that kidnappers who abducted and threatened to kill a US journalist had promised to set him free. The 33-year-old Manchester United legend is said to have clashed with a 16-year-old boy near his A1.' Keane on assault charge Footballer Roy Keane is due to appear in court charged with assault and criminal damage.,"[0.48426150121065376, 0.5157384987893463, 0.0, 0.0]",SentMix
24,"Bama offense faces tough test Like most Alabama fans, injured quarterback Brodie Croyle will sweat out tonight #39;s LSU game at home. If, somehow, the Crimson Tide can knock off the 17th-ranked Tigers, Croyle ",1,"Bama defence back untoughened test dislike fewest AlFabama fans, unroll quarterback Brodie Croyle will sweat out tonight #39;s LSU game at home. If, somehow, the Crimson Tide can praise off the 17th-ranked Tigers, Croyle ",0,"['RandomCharInsert', 'ChangeAntonym']","If, somehow, the Crimson Tide can knock off the 17th-ranked Tigers, Croyle  Musharraf Hails Talks with Indian PM Pakistan #39;s President has hailed his first face-to-face meeting with India #39;s Prime Minister, saying it will help normalize Indo-Pakistani relations.' b'Bama offense faces tough test Like most Alabama fans, injured quarterback Brodie Croyle will sweat out tonight #39;s LSU game at home.","[0.4776119402985075, 0.5223880597014925, 0.0, 0.0]",SentMix
